Rank,Player,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,RECEIVING REC,RECEIVING TGT,RECEIVING YDS,RECEIVING Y/R,RECEIVING TD,MISC FL,MISC G,MISC FPTS,MISC FPTS/G,MISC ROST,year,position
29,Amos Zereoue (FA),193,762,3.9,42,0,4,42,53,341,8.1,0,2,16,130.3,8.1,0.0%,2002,rb
30,Lamar Smith (FA),209,737,3.5,59,0,7,20,26,167,8.4,0,2,11,128.4,11.7,0.0%,2002,rb
31,Jerome Bettis (FA),187,666,3.6,41,0,9,7,9,57,8.1,0,1,12,124.3,10.4,0.0%,2002,rb
32,Michael Pittman (FA),204,718,3.5,21,0,1,59,86,477,8.1,0,2,16,121.5,7.6,0.0%,2002,rb
33,Anthony Thomas (FA),214,721,3.4,34,0,6,24,41,163,6.8,0,3,12,118.4,9.9,0.0%,2002,rb
34,Mike Alstott (FA),146,548,3.8,32,0,5,35,48,242,6.9,2,2,16,117.0,7.3,0.0%,2002,rb
35,Jamel White (FA),106,470,4.4,54,0,3,63,86,452,7.2,0,0,14,110.2,7.9,0.0%,2002,rb
36,Kevan Barlow (FA),145,675,4.7,35,0,4,14,21,136,9.7,1,1,14,109.1,7.8,0.0%,2002,rb
37,Stacey Mack (FA),98,436,4.4,23,0,9,11,13,79,7.2,0,0,16,105.5,6.6,0.0%,2002,rb
38,Kevin Faulk (FA),52,271,5.2,45,0,2,37,53,379,10.2,3,1,15,93.0,6.2,0.0%,2002,rb
39,Kenny Watson (FA),116,534,4.6,24,0,1,32,43,253,7.9,1,0,16,90.7,5.7,0.0%,2002,rb
40,James Allen (FA),155,519,3.3,32,0,0,47,57,302,6.4,0,1,16,86.3,5.4,0.0%,2002,rb
41,James Mungro (FA),97,336,3.5,49,0,8,13,16,81,6.2,0,2,9,85.7,9.5,0.0%,2002,rb
42,T.J. Duckett (FA),130,507,3.9,33,0,4,9,11,61,6.8,0,0,12,80.8,6.7,0.0%,2002,rb
43,Mike Anderson (FA),84,386,4.6,32,0,2,18,24,167,9.3,2,1,15,77.3,5.2,0.0%,2002,rb
44,Jonathan Wells (FA),197,529,2.7,37,0,3,9,12,48,5.3,0,1,16,73.7,4.6,0.0%,2002,rb
45,Thomas Jones (FA),138,511,3.7,58,0,2,20,30,113,5.7,0,2,9,70.4,7.8,0.0%,2002,rb
46,Dee Brown (FA),102,360,3.5,24,0,4,17,33,86,5.1,1,3,12,66.6,5.6,0.0%,2002,rb
47,Ron Dayne (FA),125,428,3.4,30,0,3,11,12,49,4.5,0,1,16,63.7,4.0,0.0%,2002,rb
48,Dorsey Levens (FA),75,411,5.5,47,0,1,19,28,124,6.5,1,1,16,63.5,4.0,0.0%,2002,rb
49,Lamar Gordon (FA),65,228,3.5,29,0,1,30,38,278,9.3,2,3,12,62.6,5.2,0.0%,2002,rb
50,LaMont Jordan (FA),84,316,3.8,61,0,3,17,23,160,9.4,0,2,14,61.6,4.4,0.0%,2002,rb
51,Tyrone Wheatley (FA),108,419,3.9,36,0,2,12,20,71,5.9,0,0,14,61.0,4.4,0.0%,2002,rb
52,Zack Crockett (FA),40,118,3.0,33,0,8,0,0,0,0.0,0,0,14,59.8,4.3,0.0%,2002,rb
53,Larry Centers (FA),11,56,5.1,13,0,2,43,63,388,9.0,0,0,16,56.4,3.5,0.0%,2002,rb
